SupplierID,PurchaseOrderID,TransactionAmount,IsFinalized,SupplierName,SupplierCategoryID,PersonID,Goods_Category
10,49.0,564696.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
4,50.0,2551068.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,51.0,3142260.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,52.0,4016628.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,53.0,59616.0,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
4,54.0,312984.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,55.0,57754.8,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
4,56.0,3470147.9999999995,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,57.0,3663900.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,58.0,4766796.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,59.0,5944212.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,60.0,5944212.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,61.0,1013472.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
10,62.0,3649410.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
4,63.0,6793740.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,64.0,422280.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,65.0,8209620.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,66.0,140760.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,67.0,8492796.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,68.0,9287676.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,69.0,10355796.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,70.0,929016.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,71.0,10991700.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,72.0,11091060.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,73.0,11105964.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,74.0,10892340.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,75.0,10773108.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,76.0,1574856.0000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,77.0,12407580.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,78.0,12959028.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,79.0,13679388.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,80.0,492660.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,81.0,15184691.999999998,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,82.0,844560.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,83.0,14931324.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,84.0,563040.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,85.0,596160.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,86.0,15562260.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,87.0,914940.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,88.0,15567228.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,89.0,1055700.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,90.0,16091351.999999998,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,91.0,1337220.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,92.0,15505128.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,93.0,1055700.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,94.0,15405768.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,95.0,1689120.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,96.0,849528.0000000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,97.0,703800.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,98.0,15082848.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,99.0,1829880.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,100.0,15132528.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,101.0,1548360.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,102.0,14904000.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,103.0,1829880.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,104.0,15038136.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,105.0,1548360.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,106.0,15927408.000000002,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,107.0,1618740.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,108.0,1102896.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,109.0,18160524.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,110.0,1970640.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,111.0,18153072.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,112.0,1689120.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,113.0,18108360.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,114.0,1970640.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,115.0,19206288.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,116.0,2041020.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,117.0,18938016.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,118.0,2252160.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,119.0,278208.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,120.0,19770156.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,121.0,2252160.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,122.0,20560068.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,123.0,1970640.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,124.0,20520324.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,125.0,2744820.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,126.0,22472748.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,127.0,2463300.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,128.0,23270112.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,129.0,2213575.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,130.0,1872936.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,131.0,24753060.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,132.0,2111400.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,133.0,25975188.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,134.0,2177308.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,135.0,26752680.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,136.0,1991174.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,137.0,27930096.000000004,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,138.0,3214958.400000001,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,139.0,29264004.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,140.0,3167265.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
7,141.0,70380.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,142.0,29204388.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,143.0,3142260.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,144.0,29348460.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,145.0,2924330.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,146.0,29477628.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,147.0,3528273.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,148.0,29413044.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,149.0,3183163.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,150.0,28826820.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,151.0,3560068.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,152.0,1222128.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,153.0,29984364.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,154.0,4134535.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,155.0,30267540.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,156.0,4300300.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,157.0,30826440.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,158.0,4309408.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,159.0,31680936.000000004,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,160.0,4584139.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,161.0,32922936.000000004,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,162.0,5013208.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,163.0,377568.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,164.0,422280.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,165.0,33859404.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,166.0,4745268.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,167.0,34810776.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,168.0,5033577.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,169.0,35208216.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,170.0,4720262.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,171.0,35255412.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,172.0,5097168.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,173.0,36676260.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,174.0,4879238.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,175.0,914112.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,176.0,37456236.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,177.0,4361572.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,178.0,39485664.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,179.0,4729370.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,180.0,39992400.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,181.0,5019998.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,182.0,41788332.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,183.0,5308308.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,184.0,42538500.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,185.0,5396904.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,186.0,442152.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,187.0,79488.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,188.0,44590284.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,189.0,5916888.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,190.0,45849672.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,191.0,5571777.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,192.0,46013616.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,193.0,5626260.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,194.0,45914256.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,195.0,5440125.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,196.0,45894384.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,197.0,5158605.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,198.0,715392.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,199.0,222566.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,200.0,45829800.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,201.0,5008903.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,202.0,45703116.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,203.0,4797763.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,204.0,47481660.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,205.0,4847774.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,206.0,48810600.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,207.0,4872780.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,208.0,49963176.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,209.0,5161089.6000000015,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,210.0,382536.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,211.0,51237467.99999999,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,212.0,4754707.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,213.0,51339312.00000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,214.0,4409596.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,215.0,54173556.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,216.0,4416386.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,217.0,55080216.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,218.0,5724129.6000000015,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,219.0,55765800.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,220.0,6162307.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,221.0,432216.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,222.0,55785672.00000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,223.0,5724129.6000000015,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,224.0,56821500.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,225.0,5506200.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,226.0,57074867.99999999,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,227.0,5951167.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,228.0,57243780.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,229.0,5606056.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,230.0,57969107.99999999,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,231.0,6541531.199999998,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,232.0,715392.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,233.0,70380.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,234.0,58873284.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,235.0,7075094.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,236.0,59538996.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,237.0,6729984.000000001,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,238.0,60172416.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,239.0,6416668.800000002,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,240.0,60535080.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,241.0,6198739.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,242.0,62204327.99999999,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,243.0,6405904.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,244.0,39744.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,245.0,206668.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,246.0,62566992.00000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,247.0,6073876.800000002,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,248.0,64243692.00000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,249.0,6623337.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,250.0,64780236.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,251.0,6341817.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,252.0,66802212.00000001,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,253.0,6630127.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,254.0,67875300.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,255.0,7903756.800000002,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,256.0,757620.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,257.0,69631488.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,258.0,7739812.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,259.0,70575408.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,260.0,7305278.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,261.0,71464680.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,262.0,7133054.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,263.0,72535284.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,264.0,7356945.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,265.0,73273032.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,266.0,7445210.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,267.0,767556.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,268.0,127180.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,269.0,74825532.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,270.0,6952550.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,271.0,75528504.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,272.0,6607440.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,273.0,75168324.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,274.0,6294124.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,275.0,75155904.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,276.0,6371294.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,277.0,76035240.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,278.0,6185160.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,279.0,139104.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,280.0,47692.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,281.0,75463920.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,282.0,5894532.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,283.0,75737160.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,284.0,5692500.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,285.0,76532040.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,286.0,5347389.6000000015,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,287.0,76298544.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,288.0,5213419.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,289.0,77033808.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,290.0,5049972.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,291.0,1018440.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,292.0,63590.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,293.0,78708024.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,294.0,4634481.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,295.0,80282880.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,296.0,5063551.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,297.0,80347464.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,298.0,4718440.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,299.0,81259092.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,300.0,5805936.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,301.0,82471284.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,302.0,5476723.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,303.0,1040796.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,304.0,195739.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,305.0,83479788.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,306.0,5381337.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,307.0,84207600.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,308.0,6405242.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,309.0,85260816.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,310.0,6203210.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,311.0,85866912.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,312.0,6012108.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,313.0,86095440.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,314.0,5592477.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,315.0,548964.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,316.0,170899.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,317.0,86053212.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,318.0,6062450.3999999985,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,319.0,85988628.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,320.0,6561900.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,321.0,86594724.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,322.0,6875215.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,323.0,87161076.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,324.0,9474804.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,325.0,87066684.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,326.0,9129693.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,327.0,765071.9999999999,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,328.0,31795.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,329.0,89083692.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,330.0,9526968.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,331.0,89411580.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,332.0,9411213.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,333.0,89851248.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,334.0,9302248.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,335.0,91254708.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,336.0,9129693.6,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,337.0,91850868.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,338.0,9084319.2,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,339.0,447120.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
4,340.0,91955196.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
